id,sinif,mezmun_xetti,standart_kodu,standart_metni,alt_standart_kodu,alt_standart_metni,yaradilma_tarixi,pisa_seviyyesi,pirls_kateqoriya,bloom_seviyyesi,kod
88,3,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",3-1.1.3,"Dinlədiyi mətni genişləndirir, davamını təxmin edir.",2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_III_1.1.3
89,3,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,3-1.2.1,Müzakirələrdə çıxış edərkən mövzudan kənara çıxmır.,2026-03-17 19:59:43.623487,1a,birbaşa anlama,tətbiq etmək,Az_dili_III_1.2.1
90,3,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,3-1.2.2,Dinlədiyi fikirlərə münasibətini bildirməsi üçün arqumentlər gətirir.,2026-03-17 19:59:43.623487,2,qiymətləndirmə,anlamaq,Az_dili_III_1.2.2
91,3,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,3-1.2.3,Dialoq zamanı mövzu ilə bağlı müəyyən məqamları sual verməklə aydınlaşdırır.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_III_1.2.3
92,3,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,3-1.3.1,Oxuduğu və dinlədiyi mətnləri yaradıcı şəkildə nəql edir.,2026-03-17 19:59:43.623487,2,şərh etmə,tətbiq etmək,Az_dili_III_1.3.1
93,3,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,3-1.3.2,Qrafik və ya verbal-qrafik informasiyanı rabitəli şəkildə şifahi təqdim edir.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_III_1.3.2
94,3,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,3-1.3.3,"Mövzu ilə bağlı bildiklərini, fikir və təəssüratlarını rabitəli şəkildə təqdim edir.",2026-03-17 19:59:43.623487,2,şərh etmə,tətbiq etmək,Az_dili_III_1.3.3
95,3,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,3-1.3.4,Araşdırma nəticəsində əldə etdiyi məlumatları rabitəli şəkildə təqdim edir.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_III_1.3.4
96,3,Dinləmə və danışma,1.4,Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.,3-1.4.1,Cümlə qurarkən sözləri uyğun qrammatik formada işlədir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_1.4.1
97,3,Dinləmə və danışma,1.4,Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.,3-1.4.2,"Danışarkən emosiyalarını nümayiş etdirmək üçün intonasiya, jest və mimikadan istifadə edir.",2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_1.4.2
98,3,Oxu,2.1,"Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.",3-2.1.1,"Müvafiq mətnləri sürətli, səlis, aydın səslə oxuyur.",2026-03-17 19:59:43.623487,1a,birbaşa anlama,tətbiq etmək,Az_dili_III_2.1.1
99,3,Oxu,2.1,"Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.",3-2.1.2,Dialoji mətni uyğun səs tonları ilə oxuyur.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_2.1.2
100,3,Oxu,2.2,Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,3-2.2.1,Qeyd götürməklə mətndəki əsas məlumatları mənimsədiyini nümayiş etdirir.,2026-03-17 19:59:43.623487,1a,məlumat alma,anlamaq,Az_dili_III_2.2.1
101,3,Oxu,2.2,Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,3-2.2.2,Verbal-qrafik informasiyanı mənimsədiyini nümayiş etdirir.,2026-03-17 19:59:43.623487,1a,inteqrasiya,anlamaq,Az_dili_III_2.2.2
102,3,Oxu,2.2,Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,3-2.2.3,Kontekstdən çıxış edərək söz və ifadələrin mənasını müəyyən edir və verilmiş izahla müqayisə edir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_III_2.2.3
103,3,Oxu,2.3,Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,3-2.3.1,Ümumi məzmun səviyyəsində səbəb-nəticə əlaqəsini müəyyənləşdirir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_III_2.3.1
104,3,Oxu,2.3,Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,3-2.3.2,Mətndəki hadisələrə və dialoqlara görə obrazlar haqqında fikir yürüdür.,2026-03-17 19:59:43.623487,2,şərh etmə,təhlil etmək,Az_dili_III_2.3.2
105,3,Oxu,2.3,Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,3-2.3.3,Mətndə əsas fikrin açılmasına xidmət edən məqamları müəyyənləşdirir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_III_2.3.3
106,3,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,3-2.4.1,"Mətndəki fakt, hadisə və obrazlarla bağlı şəxsi mövqeyini əsaslandırır.",2026-03-17 19:59:43.623487,2,qiymətləndirmə,qiymətləndirmək,Az_dili_III_2.4.1
107,3,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,3-2.4.2,"Mətni təxəyyülünə uyğun genişləndirir, dilindən nəql edir.",2026-03-17 19:59:43.623487,2,qiymətləndirmə,yaratmaq,Az_dili_III_2.4.2
108,3,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,3-2.4.3,"Mətnin tərkib hissələrini, struktur elementlərini və dil-üslub xüsusiyyətlərini müəyyən edir.",2026-03-17 19:59:43.623487,2,şərh etmə,təhlil etmək,Az_dili_III_2.4.3
109,3,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,3-2.4.4,"Müxtəlif mətnləri mövzu, məzmun, ideya baxımından müqayisə edir.",2026-03-17 19:59:43.623487,2,qiymətləndirmə,təhlil etmək,Az_dili_III_2.4.4
110,3,Yazı,3.1,Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.,3-3.1.1,Yazısında məlumatları mətnin tərkib hissələri üzrə qruplaşdırır.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_3.1.1
111,3,Yazı,3.1,Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.,3-3.1.2,Özünün və başqasının yazısını dil qaydaları baxımından təkmilləşdirir.,2026-03-17 19:59:43.623487,2,qiymətləndirmə,qiymətləndirmək,Az_dili_III_3.1.2
112,3,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,3-3.2.1,"Dinlədiyi, oxuduğu məlumatları yazısında əks etdirir.",2026-03-17 19:59:43.623487,1a,birbaşa anlama,tətbiq etmək,Az_dili_III_3.2.1
113,3,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,3-3.2.2,"Fikir, təxəyyül və təəssüratları əsasında bədii mətn yazır.",2026-03-17 19:59:43.623487,2,qiymətləndirmə,yaratmaq,Az_dili_III_3.2.2
114,3,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,3-3.2.3,Tanış olduğu məlumatlar əsasında kiçikhəcmli qeyri-bədii mətn yazır.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_III_3.2.3
115,3,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,3-3.2.4,Standart forma və məzmun xüsusiyyətlərini gözləməklə əməli yazılar yazır.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_3.2.4
116,3,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,3-3.2.5,Təqdimat üçün müxtəlif vizual forma və üsullar seçir.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_III_3.2.5
117,4,Dil qaydaları,4.1,Orfoqrafiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,4-4.1.1,Sözlərdə sait və samitlərin yazılış qaydalarına riayət edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_4.1.1
118,4,Dil qaydaları,4.1,Orfoqrafiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,4-4.1.2,"Sözlərin bitişik, ayrı və defislə yazılış qaydalarına riayət edir.",2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_4.1.2
119,4,Dil qaydaları,4.1,Orfoqrafiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,4-4.1.3,Sözlərin böyük hərflə yazılış qaydalarına əməl edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_4.1.3
120,4,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik-semantik-morfoloji tərkibini izah edir.,4-4.2.1,Kontekstdən və qrammatik formadan çıxış edərək əsas nitq hissələrinin qrammatik-semantik-morfoloji tərkibini izah edir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_IV_4.2.1
121,4,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik-semantik-morfoloji tərkibini izah edir.,4-4.2.2,Köməkçi nitq hissələrinin ümumi qrammatik mənalarını müəyyən edir.,2026-03-17 19:59:43.623487,2,məlumat alma,anlamaq,Az_dili_IV_4.2.2
122,4,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik-semantik-morfoloji tərkibini izah edir.,4-4.2.3,Sintaktik vahidlərin və cümlə komponentlərini və ifadə etdiyi semantik mənanı izah edir.,2026-03-17 19:59:43.623487,3,şərh etmə,anlamaq,Az_dili_IV_4.2.3
123,4,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,4-4.3.1,"O, bu əvəzliklərindən sonra əvəzliyindən sonra vergül işarəsinin işlənmə məqamını müəyyən edir.",2026-03-17 19:59:43.623487,2,birbaşa anlama,anlamaq,Az_dili_IV_4.3.1
124,4,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,4-4.3.2,Defis və tire işarələrini fərqləndirir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,anlamaq,Az_dili_IV_4.3.2
125,4,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,4-4.3.3,Sitatda dırnaq işarəsindən istifadə edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_4.3.3
126,4,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,4-4.3.4,İxtisarlarda durğu işarələrindən istifadə edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_4.3.4
127,4,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,4-4.3.5,Müəyyən sintaktik konstruksiyalarda mötərizə işarəsinin funksiyasını izah edir.,2026-03-17 19:59:43.623487,3,şərh etmə,anlamaq,Az_dili_IV_4.3.5
128,4,Dil qaydaları,4.4,Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.,4-4.4.1,Kontekstdən və morfoloji tərkibdən çıxış edərək sözün mənasını müəyyən edir və lüğət vasitəsilə dəqiqləşdirir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_IV_4.4.1
129,4,Dil qaydaları,4.4,Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.,4-4.4.2,Leksik vahidlərin mənalarını müxtəlif üsullarla izah edir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_IV_4.4.2
130,4,Dil qaydaları,4.4,Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.,4-4.4.3,Sözləri leksik kateqoriyalar üzrə qruplaşdırır.,2026-03-17 19:59:43.623487,2,məlumat alma,təhlil etmək,Az_dili_IV_4.4.3
131,4,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",4-1.1.1,Dinləmə zamanı götürdüyü qeydlər əsasında mətnlə bağlı suallara cavab verir.,2026-03-17 19:59:43.623487,2,məlumat alma,anlamaq,Az_dili_IV_1.1.1
132,4,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",4-1.1.2,Dinlədiyi mətni ideya və məzmun baxımından şərh edir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_IV_1.1.2
133,4,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",4-1.1.3,"Öz versiya və düşüncələrini əlavə etməklə dinlədiyi mətni genişləndirir, dəyişdirir, davamını təxmin edir.",2026-03-17 19:59:43.623487,2,şərh etmə,yaratmaq,Az_dili_IV_1.1.3
134,4,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,4-1.2.1,Dinlədiyi fikirləri təsdiq və ya təkzib etmək üçün arqument və ya əks-arqumentlər gətirir.,2026-03-17 19:59:43.623487,2,qiymətləndirmə,qiymətləndirmək,Az_dili_IV_1.2.1
135,4,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,4-1.2.2,Əldə etdiyi məlumatlar və tərtib etdiyi suallar əsasında müsahibi ilə dialoq qurur.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_IV_1.2.2
136,4,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,4-1.3.1,Əlavə məlumatlardan istifadə etməklə dinlədiyi və ya oxuduğu mətni genişləndirib danışır.,2026-03-17 19:59:43.623487,2,şərh etmə,tətbiq etmək,Az_dili_IV_1.3.1
137,4,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,4-1.3.2,Qrafik və ya verbal-qrafik informasiyanı rabitəli şəkildə şifahi təqdim edir.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_IV_1.3.2
138,4,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,4-1.3.3,"Mövzu ilə bağlı bildiklərini, fikir və təəssüratlarını rabitəli şəkildə təqdim edir.",2026-03-17 19:59:43.623487,2,şərh etmə,tətbiq etmək,Az_dili_IV_1.3.3
139,4,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,4-1.3.4,Araşdırma nəticəsində əldə etdiyi məlumatları rabitəli şəkildə təqdim edir.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_IV_1.3.4
140,4,Dinləmə və danışma,1.4,Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.,4-1.4.1,Şifahi nitqində leksik və qrammatik normalara əməl edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_1.4.1
141,4,Dinləmə və danışma,1.4,Ədəbi dilin normaları və ekspressiv nitq: Danışarkən ədəbi dilin normalarına əməl edir və ekspressiv nitq nümayiş etdirir.,4-1.4.2,"Danışarkən məzmuna uyğun intonasiya, jest, mimikadan istifadə edir, auditoriya ilə göz təması qurur.",2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_1.4.2
142,4,Oxu,2.1,"Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.",4-2.1.1,Deyilişi çətin olan sözləri aydın tələffüz etməklə kiçikhəcmli mətnləri oxuyur.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_2.1.1
143,4,Oxu,2.1,"Səlis və ifadəli oxu: Kiçik həcmli mətnləri sürətli, aydın, səlis oxuyur.",4-2.1.2,Mətni oxuyarkən məzmuna uyğun səs tonu seçir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_2.1.2
144,4,Oxu,2.2,Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,4-2.2.1,Mətndə açıq şəkildə ifadə olunmuş məlumatları mənimsədiyini nümayiş etdirir.,2026-03-17 19:59:43.623487,2,məlumat alma,anlamaq,Az_dili_IV_2.2.1
145,4,Oxu,2.2,Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,4-2.2.2,Verbal-qrafik informasiyanı mənimsədiyini nümayiş etdirir.,2026-03-17 19:59:43.623487,2,inteqrasiya,anlamaq,Az_dili_IV_2.2.2
146,4,Oxu,2.2,Faktoloji qavrama: Mətndə açıq şəkildə ifadə olunmuş informasiyanı mənimsədiyini nümayiş etdirir.,4-2.2.3,Kontekstdən çıxış edərək mətndəki söz və ifadələrin mənasını müəyyən edir və lüğət vasitəsilə dəqiqləşdirir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_IV_2.2.3
147,4,Oxu,2.3,Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,4-2.3.1,Mətndə fikirlərlə (müəllif mövqeyi ilə) fakt və hadisələri əlaqələndirir.,2026-03-17 19:59:43.623487,2,şərh etmə,təhlil etmək,Az_dili_IV_2.3.1
148,4,Oxu,2.3,Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,4-2.3.2,Mətndəki obrazlara münasibət bildirir və fikirini mətnə istinad etməklə əsaslandırır.,2026-03-17 19:59:43.623487,3,qiymətləndirmə,qiymətləndirmək,Az_dili_IV_2.3.2
149,4,Oxu,2.3,Şərhetmə və əlaqələndirmə: Mətndə açıq şəkildə ifadə olunmayan informasiya haqqında fikir yürüdür.,4-2.3.3,Mətndəki əsas fikri bağlı həyatdan nümunələr gətirir.,2026-03-17 19:59:43.623487,3,inteqrasiya,tətbiq etmək,Az_dili_IV_2.3.3
150,4,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,4-2.4.1,Mətndəki obrazlara və müəllif yanaşmasına öz münasibətini bildirir.,2026-03-17 19:59:43.623487,3,qiymətləndirmə,qiymətləndirmək,Az_dili_IV_2.4.1
151,4,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,4-2.4.2,"Mətni məzmununa və janrın tələblərinə uyğun dəyişdirir, genişləndirir və ya tamamlayır.",2026-03-17 19:59:43.623487,3,qiymətləndirmə,yaratmaq,Az_dili_IV_2.4.2
152,4,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,4-2.4.3,Mətni məzmun-struktur və dil-üslub xüsusiyyətlərinə görə təhlil edir.,2026-03-17 19:59:43.623487,3,şərh etmə,təhlil etmək,Az_dili_IV_2.4.3
153,4,Oxu,2.4,Tənqidi təfəkkür və yaradıcı yanaşma: Mətndəki fakt və hadisələrə bağlı şəxsi münasibətini ifadə edir.,4-2.4.4,"Müxtəlif mətnləri mövzu, məzmun, ideya, struktur və bədii xüsusiyyətlər baxımından müqayisə edir.",2026-03-17 19:59:43.623487,3,qiymətləndirmə,təhlil etmək,Az_dili_IV_2.4.4
154,4,Yazı,3.1,Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.,4-3.1.1,Məntiqi və xronoloji ardıcıllığı gözləməklə məlumatları mətnin hissələrinə uyğun qruplaşdırır.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_3.1.1
155,4,Yazı,3.1,Yazı normaları: Yazısında ədəbi dilin normalarına və mətnin struktur tələblərinə riayət edir.,4-3.1.2,Yazıda ədəbi dilin normalarına riayət edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_3.1.2
156,4,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,4-3.2.1,"Dinlədiyi, oxuduğu, həyatda gördüyü hadisə və faktlar əsasında mətn yazır.",2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_3.2.1
157,4,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,4-3.2.2,Janr tələblərini gözləməklə təxəyyülə əsasən bədii mətn yazır.,2026-03-17 19:59:43.623487,3,qiymətləndirmə,yaratmaq,Az_dili_IV_3.2.2
158,4,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,4-3.2.3,Araşdırdığı və əldə etdiyi məlumatlar əsasında qeyri-bədii mətn yazır.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_IV_3.2.3
159,4,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,4-3.2.4,Standart forma və məzmun xüsusiyyətlərini gözləməklə əməli yazılar yazır.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_IV_3.2.4
160,4,Yazı,3.2,Yazı məqsədləri və tipləri: Məqsədə uyğun olaraq kiçikhəcmli sadə mətnlər yazır.,4-3.2.5,Təqdimat üçün müxtəlif vizual forma və üsullar seçir.,2026-03-17 19:59:43.623487,2,inteqrasiya,tətbiq etmək,Az_dili_IV_3.2.5
161,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.1,Sözlərdə sait və samitlərin növlərini müəyyən edir.,2026-03-17 19:59:43.623487,2,məlumat alma,xatırlamaq,Az_dili_V_4.1.1
162,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.2,Sözlərdə bəzi sait və samitlərin yazılışı və tələffüzü qaydalarına riayət edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_V_4.1.2
163,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.3,Sözün sətirdən-sətrə keçirilmə qaydalarına əməl edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_V_4.1.3
164,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.4,Xüsusi isimlərin böyük hərflə yazılışı qaydalarına riayət edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_V_4.1.4
165,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.5,Sayların rəqəmlə yazılışında şəkilçilərin orfoqrafiya qaydalarına riayət edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_V_4.1.5
166,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.6,Mürəkkəb sözlərin yazılışı zamanı komponentlər arasındakı məna əlaqəsindən çıxış edir.,2026-03-17 19:59:43.623487,3,şərh etmə,anlamaq,Az_dili_V_4.1.6
167,5,Dil qaydaları,4.1,Orfoqrafiya və orfoepiya: Dilin fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,5-4.1.7,Azaltma və çoxaltma dərəcəli sifətlərin yazılışında orfoqrafiya qaydalarına riayət edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_V_4.1.7
168,5,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik kateqoriyalarını və morfoloji tərkibini müəyyən edir.,5-4.2.1,Əsas nitq hissələrinin ümumi qrammatik kateqoriyalarını və morfoloji tərkibini müəyyən edir.,2026-03-17 19:59:43.623487,2,məlumat alma,anlamaq,Az_dili_V_4.2.1
169,5,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik kateqoriyalarını və morfoloji tərkibini müəyyən edir.,5-4.2.2,Köməkçi nitq hissələrini əsas nitq hissələrindən fərqləndirən xüsusiyyətləri müəyyən edir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_V_4.2.2
170,5,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik kateqoriyalarını və morfoloji tərkibini müəyyən edir.,5-4.2.3,Söz birləşməsini söz və cümlədən fərqləndirir.,2026-03-17 19:59:43.623487,2,şərh etmə,anlamaq,Az_dili_V_4.2.3
171,5,Dil qaydaları,4.2,Qrammatika: Nitq hissələrinin qrammatik kateqoriyalarını və morfoloji tərkibini müəyyən edir.,5-4.2.4,Cümlənin qrammatik əsasını müəyyən edir.,2026-03-17 19:59:43.623487,2,məlumat alma,anlamaq,Az_dili_V_4.2.4
